timestamp,vw,hs,hsd_max,hsd_min
1995-01-01 00:00:00,16.44,4.19,337.8,337.8
1995-01-01 03:00:00,16.4,5.05,337.6,337.6
1995-01-01 06:00:00,16.37,5.36,338.1,338.1
1995-01-01 09:00:00,17.18,5.48,337.4,337.4
1995-01-01 12:00:00,18.0,5.66,337.4,337.4
1995-01-01 15:00:00,18.42,6.2,337.6,337.6
1995-01-01 18:00:00,18.84,6.75,339.5,339.5
1995-01-01 21:00:00,17.86,6.94,340.2,340.2
1995-01-02 00:00:00,16.87,6.76,343.2,343.2
1995-01-02 03:00:00,18.6,7.03,346.0,346.0
1995-01-02 06:00:00,20.95,7.79,350.2,350.2
1995-01-02 09:00:00,19.4,8.23,351.4,351.4
1995-01-02 12:00:00,18.48,7.92,353.6,353.6
1995-01-02 15:00:00,15.68,7.05,353.1,353.1
1995-01-02 18:00:00,12.89,5.71,353.6,353.6
1995-01-02 21:00:00,10.69,4.66,353.8,353.8
1995-01-03 00:00:00,8.48,3.95,356.5,356.5
1995-01-03 03:00:00,6.84,3.29,358.9,358.9
1995-01-03 06:00:00,5.2,2.93,1.4,1.4
1995-01-03 09:00:00,4.85,2.62,2.2,2.2
1995-01-03 12:00:00,4.49,2.31,2.8,2.8
1995-01-03 15:00:00,5.27,2.03,3.3,3.3
1995-01-03 18:00:00,6.06,1.78,4.6,4.6
1995-01-03 21:00:00,7.37,1.57,7.5,7.5
1995-01-04 00:00:00,8.68,1.45,21.2,21.2
1995-01-04 03:00:00,9.23,1.46,142.4,142.4
1995-01-04 06:00:00,9.81,1.52,176.0,176.0
1995-01-04 09:00:00,10.8,1.63,183.6,183.6
1995-01-04 12:00:00,11.78,1.78,186.9,186.9
1995-01-04 15:00:00,11.8,1.86,188.6,188.6
1995-01-04 18:00:00,11.82,1.87,187.8,187.8
1995-01-04 21:00:00,11.85,1.9,188.5,188.5
1995-01-05 00:00:00,11.88,1.95,189.8,189.8
1995-01-05 03:00:00,13.18,2.08,191.2,191.2
1995-01-05 06:00:00,14.5,2.34,191.8,191.8
1995-01-05 09:00:00,15.06,2.63,193.4,193.4
1995-01-05 12:00:00,15.63,2.9,194.8,194.8
1995-01-05 15:00:00,15.97,3.1,195.4,195.4
1995-01-05 18:00:00,16.31,3.23,195.6,195.6
1995-01-05 21:00:00,14.89,3.13,195.8,195.8
1995-01-06 00:00:00,13.46,2.9,194.5,194.5
1995-01-06 03:00:00,8.76,2.44,192.3,192.3
1995-01-06 06:00:00,4.05,1.88,190.2,190.2
1995-01-06 09:00:00,2.88,1.45,190.7,190.7
1995-01-06 12:00:00,1.69,1.1,193.3,193.3
1995-01-06 15:00:00,3.13,0.8,199.7,199.7
1995-01-06 18:00:00,4.57,0.62,238.8,238.8
1995-01-06 21:00:00,5.27,0.79,290.9,290.9
1995-01-07 00:00:00,5.96,1.0,304.3,304.3
1995-01-07 03:00:00,4.86,1.04,311.4,311.4
1995-01-07 06:00:00,3.75,1.0,316.2,316.2
1995-01-07 09:00:00,2.96,0.9,319.3,319.3
1995-01-07 12:00:00,2.18,0.76,319.1,319.1
1995-01-07 15:00:00,3.86,0.64,319.3,319.3
1995-01-07 18:00:00,5.54,0.66,293.4,293.4
1995-01-07 21:00:00,7.49,0.7,247.8,247.8
1995-01-08 00:00:00,9.43,0.89,210.9,210.9
1995-01-08 03:00:00,9.03,1.15,209.6,209.6
1995-01-08 06:00:00,8.63,1.28,211.8,211.8
1995-01-08 09:00:00,8.33,1.27,216.0,216.0
1995-01-08 12:00:00,8.02,1.18,230.2,230.2
1995-01-08 15:00:00,8.82,1.21,267.2,267.2
1995-01-08 18:00:00,9.63,1.33,299.5,299.5
1995-01-08 21:00:00,10.07,1.64,309.4,309.4
1995-01-09 00:00:00,10.51,1.94,309.7,309.7
1995-01-09 03:00:00,10.03,2.09,310.4,310.4
1995-01-09 06:00:00,9.55,2.06,311.2,311.2
1995-01-09 09:00:00,11.12,2.0,306.6,306.6
1995-01-09 12:00:00,12.68,2.05,294.9,294.9
1995-01-09 15:00:00,14.89,2.44,283.4,283.4
1995-01-09 18:00:00,17.11,3.14,278.0,278.0
1995-01-09 21:00:00,18.04,3.98,289.0,289.0
1995-01-10 00:00:00,18.95,4.76,305.0,305.0
1995-01-10 03:00:00,18.22,5.52,317.8,317.8
1995-01-10 06:00:00,17.48,5.92,326.8,326.8
1995-01-10 09:00:00,15.46,5.83,331.7,331.7
1995-01-10 12:00:00,13.45,5.06,333.4,333.4
1995-01-10 15:00:00,8.91,4.2,333.9,333.9
1995-01-10 18:00:00,4.37,3.3,336.5,336.5
1995-01-10 21:00:00,8.23,2.92,342.0,342.0
1995-01-11 00:00:00,12.07,2.89,349.1,349.1
1995-01-11 03:00:00,13.8,3.25,349.1,349.1
1995-01-11 06:00:00,15.54,4.12,349.2,349.2
1995-01-11 09:00:00,15.59,4.67,348.7,348.7
1995-01-11 12:00:00,15.63,5.0,348.5,348.5
1995-01-11 15:00:00,16.22,5.18,346.9,346.9
1995-01-11 18:00:00,16.8,5.4,345.9,345.9
1995-01-11 21:00:00,17.21,5.72,345.1,345.1
1995-01-12 00:00:00,17.6,5.99,344.8,344.8
1995-01-12 03:00:00,19.16,6.52,346.2,346.2
1995-01-12 06:00:00,21.35,7.29,351.0,351.0
1995-01-12 09:00:00,17.7,7.25,353.0,353.0
1995-01-12 12:00:00,14.69,6.1,355.0,355.0
1995-01-12 15:00:00,12.06,4.87,354.7,354.7
1995-01-12 18:00:00,9.44,4.1,356.2,356.2
1995-01-12 21:00:00,8.17,3.35,356.0,356.0
1995-01-13 00:00:00,6.92,2.91,354.1,354.1
1995-01-13 03:00:00,7.64,2.54,349.4,349.4
1995-01-13 06:00:00,8.35,2.21,343.2,343.2
1995-01-13 09:00:00,7.57,1.98,336.1,336.1
1995-01-13 12:00:00,6.8,1.78,331.3,331.3
1995-01-13 15:00:00,5.94,1.6,327.9,327.9
1995-01-13 18:00:00,5.08,1.45,325.1,325.1
1995-01-13 21:00:00,5.99,1.33,321.6,321.6
1995-01-14 00:00:00,6.89,1.23,315.2,315.2
1995-01-14 03:00:00,7.11,1.15,300.7,300.7
1995-01-14 06:00:00,7.32,1.13,277.6,277.6
1995-01-14 09:00:00,8.87,1.22,252.6,252.6
1995-01-14 12:00:00,10.42,1.46,238.3,238.3
1995-01-14 15:00:00,9.8,1.63,234.1,234.1
1995-01-14 18:00:00,9.18,1.62,234.2,234.2
1995-01-14 21:00:00,8.82,1.53,236.4,236.4
1995-01-15 00:00:00,8.45,1.43,240.0,240.0
1995-01-15 03:00:00,6.78,1.31,242.6,242.6
1995-01-15 06:00:00,5.1,1.15,241.2,241.2
1995-01-15 09:00:00,4.99,0.98,238.5,238.5
1995-01-15 12:00:00,4.88,0.85,236.8,236.8
1995-01-15 15:00:00,6.54,0.79,229.6,229.6
1995-01-15 18:00:00,8.21,0.95,213.9,213.9
1995-01-15 21:00:00,11.3,1.39,204.3,204.3
1995-01-16 00:00:00,14.39,2.08,203.5,203.5
1995-01-16 03:00:00,14.6,2.6,204.2,204.2
1995-01-16 06:00:00,14.81,2.85,203.8,203.8
1995-01-16 09:00:00,14.86,2.95,202.0,202.0
1995-01-16 12:00:00,14.91,2.95,199.3,199.3
1995-01-16 15:00:00,15.1,2.94,197.8,197.8
1995-01-16 18:00:00,15.28,2.97,197.2,197.2
1995-01-16 21:00:00,16.4,3.13,196.9,196.9
1995-01-17 00:00:00,17.52,3.63,196.8,196.8
1995-01-17 03:00:00,15.79,3.69,196.5,196.5
1995-01-17 06:00:00,14.07,3.31,195.0,195.0
1995-01-17 09:00:00,14.9,3.18,192.1,192.1
1995-01-17 12:00:00,15.74,3.19,189.7,189.7
1995-01-17 15:00:00,17.19,3.57,188.4,188.4
1995-01-17 18:00:00,18.64,3.99,188.8,188.8
1995-01-17 21:00:00,20.76,4.54,191.3,191.3
1995-01-18 00:00:00,22.32,5.17,193.1,193.1
1995-01-18 03:00:00,17.36,4.89,195.1,195.1
1995-01-18 06:00:00,13.07,4.0,196.7,196.7
1995-01-18 09:00:00,11.42,3.01,199.1,199.1
1995-01-18 12:00:00,9.76,2.39,202.3,202.3
1995-01-18 15:00:00,9.38,1.97,205.0,205.0
1995-01-18 18:00:00,9.0,1.73,206.1,206.1
1995-01-18 21:00:00,9.79,1.64,205.7,205.7
1995-01-19 00:00:00,10.59,1.71,204.2,204.2
1995-01-19 03:00:00,10.79,1.84,204.4,204.4
1995-01-19 06:00:00,10.98,1.97,204.8,204.8
1995-01-19 09:00:00,11.96,2.1,200.4,200.4
1995-01-19 12:00:00,12.94,2.21,193.3,193.3
1995-01-19 15:00:00,17.66,2.71,184.4,184.4
1995-01-19 18:00:00,23.09,4.17,176.6,176.6
1995-01-19 21:00:00,19.01,4.81,181.5,181.5
1995-01-20 00:00:00,15.65,4.42,188.0,188.0
1995-01-20 03:00:00,16.59,4.12,192.6,192.6
1995-01-20 06:00:00,17.53,4.13,195.2,195.2
1995-01-20 09:00:00,17.46,4.12,199.6,199.6
1995-01-20 12:00:00,17.41,4.09,204.6,204.6
1995-01-20 15:00:00,15.61,3.91,207.4,207.4
1995-01-20 18:00:00,13.8,3.57,209.4,209.4
1995-01-20 21:00:00,12.65,3.06,210.6,210.6
1995-01-21 00:00:00,11.5,2.69,210.5,210.5
1995-01-21 03:00:00,11.77,2.47,209.4,209.4
1995-01-21 06:00:00,12.03,2.37,209.1,209.1
1995-01-21 09:00:00,13.48,2.48,202.9,202.9
1995-01-21 12:00:00,14.91,2.68,194.9,194.9
1995-01-21 15:00:00,18.11,3.25,193.8,193.8
1995-01-21 18:00:00,21.97,4.43,195.8,195.8
1995-01-21 21:00:00,18.89,4.63,199.5,199.5
1995-01-22 00:00:00,16.46,4.01,206.7,206.7
1995-01-22 03:00:00,15.33,3.65,222.6,222.6
1995-01-22 06:00:00,14.2,3.28,242.0,242.0
1995-01-22 09:00:00,13.48,3.15,252.3,252.3
1995-01-22 12:00:00,12.77,2.89,248.0,248.0
1995-01-22 15:00:00,8.01,2.41,243.1,243.1
1995-01-22 18:00:00,3.25,1.88,242.4,242.4
1995-01-22 21:00:00,8.33,1.44,242.2,242.2
1995-01-23 00:00:00,13.42,1.57,248.8,248.8
1995-01-23 03:00:00,15.51,2.35,248.3,248.3
1995-01-23 06:00:00,17.61,3.59,252.8,252.8
1995-01-23 09:00:00,18.77,4.39,261.0,261.0
1995-01-23 12:00:00,19.93,4.89,265.3,265.3
1995-01-23 15:00:00,21.03,5.15,268.2,268.2
1995-01-23 18:00:00,21.54,5.28,270.7,270.7
1995-01-23 21:00:00,18.78,5.07,275.3,275.3
1995-01-24 00:00:00,16.67,4.57,279.9,279.9
1995-01-24 03:00:00,16.58,4.2,285.0,285.0
1995-01-24 06:00:00,16.49,4.04,290.4,290.4
1995-01-24 09:00:00,15.55,3.84,290.9,290.9
1995-01-24 12:00:00,14.61,3.52,285.6,285.6
1995-01-24 15:00:00,13.79,3.1,278.4,278.4
1995-01-24 18:00:00,12.98,2.89,272.5,272.5
1995-01-24 21:00:00,10.53,2.58,269.6,269.6
1995-01-25 00:00:00,8.07,2.19,269.5,269.5
1995-01-25 03:00:00,4.71,1.82,270.7,270.7
1995-01-25 06:00:00,1.37,1.52,273.0,273.0
1995-01-25 09:00:00,1.16,1.29,278.7,278.7
1995-01-25 12:00:00,0.96,1.12,289.7,289.7
1995-01-25 15:00:00,3.53,1.01,307.4,307.4
1995-01-25 18:00:00,6.1,0.93,330.6,330.6
1995-01-25 21:00:00,9.6,1.03,264.6,264.6
1995-01-26 00:00:00,13.09,1.86,214.0,214.0
1995-01-26 03:00:00,10.97,2.78,213.1,213.1
1995-01-26 06:00:00,8.84,3.0,215.9,215.9
1995-01-26 09:00:00,12.26,2.21,241.6,241.6
1995-01-26 12:00:00,15.69,1.88,359.3,359.3
1995-01-26 15:00:00,16.47,3.69,355.3,355.3
1995-01-26 18:00:00,17.25,4.6,354.3,354.3
1995-01-26 21:00:00,16.68,4.66,348.6,348.6
1995-01-27 00:00:00,16.12,4.48,341.1,341.1
1995-01-27 03:00:00,14.42,4.31,335.9,335.9
1995-01-27 06:00:00,12.74,4.05,334.1,334.1
1995-01-27 09:00:00,10.24,3.66,333.4,333.4
1995-01-27 12:00:00,7.73,3.03,334.4,334.4
1995-01-27 15:00:00,11.0,2.54,334.3,334.3
1995-01-27 18:00:00,14.26,2.34,303.5,303.5
1995-01-27 21:00:00,13.08,2.58,216.3,216.3
1995-01-28 00:00:00,11.91,2.84,218.2,218.2
1995-01-28 03:00:00,11.62,2.87,221.4,221.4
1995-01-28 06:00:00,11.33,2.69,226.4,226.4
1995-01-28 09:00:00,12.76,2.61,240.7,240.7
1995-01-28 12:00:00,14.18,2.71,250.8,250.8
1995-01-28 15:00:00,12.8,2.76,252.5,252.5
1995-01-28 18:00:00,11.42,2.7,247.7,247.7
1995-01-28 21:00:00,10.81,2.58,242.1,242.1
1995-01-29 00:00:00,10.19,2.43,239.7,239.7
1995-01-29 03:00:00,10.77,2.29,239.9,239.9
1995-01-29 06:00:00,11.35,2.24,246.7,246.7
1995-01-29 09:00:00,10.01,2.22,249.9,249.9
1995-01-29 12:00:00,8.68,2.09,246.2,246.2
1995-01-29 15:00:00,8.0,1.91,247.8,247.8
1995-01-29 18:00:00,7.33,1.75,262.0,262.0
1995-01-29 21:00:00,9.77,1.52,300.1,300.1
1995-01-30 00:00:00,12.21,1.43,341.7,341.7
1995-01-30 03:00:00,10.81,1.79,352.8,352.8
